100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:116785232980003784802
100535338638690515335 :percentage:0.0175438596491228 ,percentage_circle:0.00408163265306122 intersect_id:115458614518105184933
100535338638690515335 :percentage:0.0526315789473684 ,percentage_circle:0.00608519269776876 intersect_id:116785232980003784802
100535338638690515335 :percentage:0.0350877192982456 ,percentage_circle:0.00980392156862745 intersect_id:115458614518105184933
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:102314486331710415915
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:112276589013569458330
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:116160296886796853429
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:103787287068410181622
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:107379489464447013340
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:100397511207083609950
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:108223812814027910697
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:108076675731922659261
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:105901259206530390933
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:107519026002586025827
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:102900934965720459323
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:109507678796369918618
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:113071523885727746630
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:111538009015644508967
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:115478779964227301239
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:111924364306669542201
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:108897363724526154071
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:103861741370066605527
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:117034807403884912887
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:104441481535332403246
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:108741250435676131889
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:105890906575573863227
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:104600296217176278045
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:115793765515193253189
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:107704361088516551366
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:108334318341392054568
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:101927752951125284877
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:102366211018261594737
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:107222163924838615114
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:115989323496360706014
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:107965826228461029730
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:111805096810507999673
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:104542524024401372520
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:108794547410659924647
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:107396071545853144281
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:112226108704688540728
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:104808196767244382094
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:102697250952572084443
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:100834378485895409468
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:110157457788277930820
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:116381448202717889304
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:113897594280127224121
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:111935860955005881764
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:103493459351957813291
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:102723327552511533009
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:110962757807658491540
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:110012123643219804319
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:103298930481646016759
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:108244336002148538964
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:109449925000760117344
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:107585222434679667089
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:107968787521028284191
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:102588316189205436643
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:112326867483489579883
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:103863431939193472992
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:105111395535801370400
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:105912966310368032981
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:115242081056296652095
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:105112145204464229145
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:103100496883422151101
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:101947839855763461612
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:110599345010798430538
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:117198316664830078863
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:111601729473858041964
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:111714769899525603342
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:103135699585421857716
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:103325969492772452485
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:116170685268890575820
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:113391812624898456365
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:113730584538102370504
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:112985314220199427688
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:107578121095872065071
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:113801236315350503728
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:118318213809653103083
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:103215942819389290767
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:117550971892000156946
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:104422229596606767516
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:113988408036835443814
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:111052763823393209492
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:105931402039205614444
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:100262595546646927505
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:102014620469584519426
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:117344752225183656923
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:107133948555394893679
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:104970540468332256112
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:116491671324535118714
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:116802117190197146689
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:105787739041016213141
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:107179219017404092823
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:109881061612128946254
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:107859883210772105439
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:102907221000300969164
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:100518419853963396365
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:108358115457111669490
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:105108491910465347210
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:103474525843041529010
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:109281549681690179604
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:112941702698394735219
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:110345156976813195439
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:107785854520006194329
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:102976465024742837897
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:102350293699241694221
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:115873428613023435238
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:107992936493665613654
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:103953720865548372079
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:114599477429382362595
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:110098813532802580499
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:110795881632600297278
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:104684807777872230721
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:116318460401071551390
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:109957883025402319418
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:111183481549738840665
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:102831333897711467495
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:101785586318368575634
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:107743694238177203555
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:107531155995244310236
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:108771911258181286059
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:110063951787755558718
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:106996339781476519138
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:113702025113619010080
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:111269553014416120850
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:109688735436178937133
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:107699124992200963809
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:111539945821979928707
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:106967325646926628873
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:102359146417117521326
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:109299348960895456083
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:106091946617921716397
100535338638690515335 :percentage:0.106382978723404 ,percentage_circle:0.673076923076923 intersect_id:105981099469095329298
100535338638690515335 :percentage:0.0121580547112462 ,percentage_circle:0.0163265306122449 intersect_id:109719643480874142756
100535338638690515335 :percentage:0.0212765957446809 ,percentage_circle:0.0141987829614604 intersect_id:117563338475550787036
100535338638690515335 :percentage:0.401215805471125 ,percentage_circle:0.647058823529412 intersect_id:102890316830251522924
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:111126328522230364906
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:112578834976260942041
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:100974258168375166691
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:118418436905562612953
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:113097276181543898574
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:109895887909967698705
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:106869490400611014916
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:104147032621576433590
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:107540638333054762391
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:116514855719838691228
