100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:102314486331710415915
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:112276589013569458330
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:116160296886796853429
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:103787287068410181622
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:107379489464447013340
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:100397511207083609950
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:108223812814027910697
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:111126328522230364906
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:108076675731922659261
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:105901259206530390933
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107519026002586025827
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:112578834976260942041
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:102900934965720459323
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:100974258168375166691
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:118418436905562612953
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:109507678796369918618
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:113071523885727746630
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:113097276181543898574
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:111538009015644508967
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:115478779964227301239
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:111924364306669542201
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:108897363724526154071
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:109895887909967698705
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:103861741370066605527
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:117034807403884912887
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:104441481535332403246
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:106869490400611014916
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:108741250435676131889
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:105890906575573863227
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:109147099159025717832
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:104600296217176278045
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:115793765515193253189
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:104147032621576433590
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:107540638333054762391
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107704361088516551366
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:116514855719838691228
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:108334318341392054568
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:101927752951125284877
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:102600774742322762226
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:108159551615224338529
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:103233967921245494760
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:102366211018261594737
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107222163924838615114
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:115989323496360706014
